Date,VN30F1M,TOTAL,value
2022-09-05 02:10:00,,0.0,0.0
2022-09-05 02:20:00,0.0,0.0,0.0
2022-09-05 02:30:00,-0.0,0.0,0.0
2022-09-05 02:40:00,0.0,0.0,0.0
2022-09-05 02:50:00,0.0,0.0,0.0
2022-09-05 03:00:00,0.0,0.0,0.0
2022-09-05 03:10:00,-4711389.297548746,-4711389.297548746,-4711389.297548746
2022-09-05 03:20:00,148784.9979839141,148784.9979839141,-4562604.299564832
2022-09-05 03:30:00,-13681685.207472574,-13681685.207472574,-18244289.507037405
2022-09-05 03:40:00,-3109473.910789157,-3109473.910789157,-21353763.417826563
2022-09-05 03:50:00,-1243789.5643159456,-1243789.5643159456,-22597552.982142508
2022-09-05 04:00:00,29850949.543577038,29850949.543577038,7253396.56143453
2022-09-05 04:10:00,10420618.272624042,10420618.272624042,17674014.83405857
2022-09-05 04:20:00,86126707.48208366,86126707.48208366,103800722.31614223
2022-09-05 04:30:00,62650302.177419096,62650302.177419096,166451024.49356133
2022-09-05 04:40:00,-0.0,0.0,166451024.49356133
2022-09-05 06:10:00,29482495.142312404,29482495.142312404,195933519.63587373
2022-09-05 06:20:00,-29482495.142312404,-29482495.142312404,166451024.49356133
2022-09-05 06:30:00,-55279678.39183891,-55279678.39183891,111171346.10172242
2022-09-05 06:40:00,33167807.035106692,33167807.035106692,144339153.1368291
2022-09-05 06:50:00,95818109.21251741,95818109.21251741,240157262.34934652
2022-09-05 07:00:00,55279678.39183891,55279678.39183891,295436940.7411854
2022-09-05 07:10:00,-184265594.639463,-184265594.639463,111171346.10172242
2022-09-05 07:20:00,-169524347.06830263,-169524347.06830263,-58353000.96658021
2022-09-05 07:30:00,176894970.85388282,176894970.85388282,118541969.8873026
2022-09-05 07:40:00,0.0,0.0,118541969.8873026
2022-09-05 07:50:00,83472314.37167507,83472314.37167507,202014284.25897768
2022-09-06 02:10:00,-84762173.53415132,-84762173.53415132,117252110.72482637
2022-09-06 02:20:00,-81076861.64136541,-81076861.64136541,36175249.08346096
2022-09-06 02:30:00,1800168.1939283565,1800168.1939283565,37975417.27738931
2022-09-06 02:40:00,-3228629.813862833,-3228629.813862833,34746787.46352648
2022-09-06 02:50:00,19172820.384968754,19172820.384968754,53919607.84849523
2022-09-06 03:00:00,-37296653.95230642,-37296653.95230642,16622953.89618881
2022-09-06 03:10:00,-14756238.956294738,-14756238.956294738,1866714.9398940727
2022-09-06 03:20:00,-7378119.478147369,-7378119.478147369,-5511404.538253296
2022-09-06 03:30:00,36890597.39072845,36890597.39072845,31379192.852475155
2022-09-06 03:40:00,25823418.173511595,25823418.173511595,57202611.025986746
2022-09-06 03:50:00,70092135.04238741,70092135.04238741,127294746.06837416
2022-09-06 04:00:00,-22134358.434442107,-22134358.434442107,105160387.63393205
2022-09-06 04:10:00,-3689059.73906949,-3689059.73906949,101471327.89486256
2022-09-06 04:20:00,-36890597.39072845,-36890597.39072845,64580730.50413411
2022-09-06 04:30:00,66403075.30330954,66403075.30330954,130983805.80744365
2022-09-06 04:40:00,7378119.478147369,7378119.478147369,138361925.285591
2022-09-06 06:10:00,-44268716.868875824,-44268716.868875824,94093208.41671517
2022-09-06 06:20:00,-103293672.69403799,-103293672.69403799,-9200464.277322814
2022-09-06 06:30:00,2464751.117661603,2464751.117661603,-6735713.159661211
2022-09-06 06:40:00,-74497.56933207298,-74497.56933207298,-6810210.728993284
2022-09-06 06:50:00,-13051870.32695714,-13051870.32695714,-19862081.055950426
2022-09-06 07:00:00,-111737337.0569643,-111737337.0569643,-131599418.11291471
2022-09-06 07:10:00,48216467.909524076,48216467.909524076,-83382950.20339063
2022-09-06 07:20:00,45380205.09131298,45380205.09131298,-38002745.112077646
2022-09-06 07:30:00,-2662265.51835039,-2662265.51835039,-40665010.63042804
2022-09-06 07:40:00,15631291.589820461,15631291.589820461,-25033719.04060758
2022-09-06 07:50:00,45799684.35817395,45799684.35817395,20765965.317566372
2022-09-07 02:10:00,184449240.7598843,184449240.7598843,205215206.07745066
2022-09-07 02:20:00,-4483481.436670616,-4483481.436670616,200731724.64078003
2022-09-07 02:30:00,-14767071.80302048,-14767071.80302048,185964652.83775955
2022-09-07 02:40:00,-33225911.556810763,-33225911.556810763,152738741.2809488
2022-09-07 02:50:00,59068287.212098695,59068287.212098695,211807028.49304748
2022-09-07 03:00:00,3691767.9507614155,3691767.9507614155,215498796.44380888
2022-09-07 03:10:00,66451823.113613136,66451823.113613136,281950619.55742204
2022-09-07 03:20:00,7383535.901514436,7383535.901514436,289334155.45893645
2022-09-07 03:30:00,11075303.852267457,11075303.852267457,300409459.3112039
2022-09-07 03:40:00,-73835359.01512757,-73835359.01512757,226574100.29607633
2022-09-07 03:50:00,11075303.852267457,11075303.852267457,237649404.14834377
2022-09-07 04:00:00,-33225911.556802373,-33225911.556802373,204423492.5915414
2022-09-07 04:10:00,59068287.212098695,59068287.212098695,263491779.8036401
2022-09-07 04:20:00,-3691767.950753021,-3691767.950753021,259800011.85288706
