Date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,REE,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VHM,VIB,VIC,VJC,VN30F1M,VNM,VPB,VRE,TOTAL,value
2022-09-05 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2022-09-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2022-09-05 03:30:00,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,46342782.11168946,-0.0,0.0,0.0,46342782.11168946,46342782.11168946
2022-09-05 04:00:00,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-34290357.22903431,0.0,-0.0,0.0,-34290357.22903431,12052424.882655151
2022-09-05 04:30:00,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72272224.15600275,0.0,-0.0,-0.0,72272224.15600275,84324649.0386579
2022-09-05 05:00:00,0.0,0.0,,,,,,,0.0,,,,,,,,-0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,-3152171.0078549264,0.0,,0.0,-3152171.0078549264,81172478.03080298
2022-09-05 06:30:00,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,,0.0,-0.0,,,,,0.0,0.0,,,,-0.0,0.0,,,,-55276054.60445368,0.0,,0.0,-55276054.60445368,25896423.426349297
2022-09-05 07:00:00,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,184253515.34817892,0.0,-0.0,-0.0,184253515.34817892,210149938.7745282
2022-09-05 07:30:00,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-176883374.73425007,0.0,0.0,0.0,-176883374.73425007,33266564.040278137
2022-09-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,83466842.45272337,0.0,0.0,0.0,83466842.45272337,116733406.4930015
