Date,VN30F1M
2022-09-15 02:30:00,0.0
2022-09-15 02:45:00,0.208
2022-09-15 03:00:00,0.208
2022-09-15 03:15:00,0.7051
2022-09-15 03:30:00,0.7056
2022-09-15 03:45:00,0.705
2022-09-15 04:00:00,0.7048
2022-09-15 04:15:00,-0.2895
2022-09-15 04:30:00,-0.2895
2022-09-15 04:45:00,-0.4972
2022-09-15 06:15:00,-0.9994
2022-09-15 06:30:00,-1.0002
2022-09-15 06:45:00,-0.999
2022-09-15 07:00:00,0.0
2022-09-15 07:15:00,0.0
2022-09-15 07:30:00,0.0
2022-09-15 07:45:00,0.0
2022-09-15 08:00:00,0.0
2022-09-16 02:15:00,0.0
2022-09-16 02:30:00,0.0
2022-09-16 02:45:00,-0.4674
2022-09-16 03:00:00,-0.4674
2022-09-16 03:15:00,-0.4672
2022-09-16 03:30:00,-0.4672
2022-09-16 03:45:00,-0.467
2022-09-16 04:00:00,-0.467
2022-09-16 04:15:00,-0.4667
2022-09-16 04:30:00,-0.4667
2022-09-16 04:45:00,-0.1582
2022-09-16 06:15:00,-0.467
2022-09-16 06:30:00,-0.467
2022-09-16 06:45:00,-0.4659
2022-09-16 07:00:00,-0.4663
2022-09-16 07:15:00,-0.4652
2022-09-16 07:30:00,-0.4611
2022-09-16 07:45:00,0.0
2022-09-16 08:00:00,0.0
2022-09-19 02:15:00,0.0
2022-09-19 02:30:00,0.0
2022-09-19 02:45:00,0.4955
2022-09-19 03:00:00,0.4939
2022-09-19 03:15:00,0.4946
2022-09-19 03:30:00,0.4945
2022-09-19 03:45:00,0.2863
2022-09-19 04:00:00,0.2865
2022-09-19 04:15:00,0.2866
2022-09-19 04:30:00,0.2862
2022-09-19 04:45:00,0.4941
2022-09-19 06:15:00,0.092
2022-09-19 06:30:00,0.0919
2022-09-19 06:45:00,0.3002
2022-09-19 07:00:00,0.3003
2022-09-19 07:15:00,-0.008
2022-09-19 07:30:00,-0.008
2022-09-19 07:45:00,0.0
2022-09-19 08:00:00,0.0
2022-09-20 02:15:00,0.0
2022-09-20 02:30:00,0.0
2022-09-20 02:45:00,0.4972
2022-09-20 03:00:00,0.4967
2022-09-20 03:15:00,0.4969
2022-09-20 03:30:00,0.4969
2022-09-20 03:45:00,0.4037
2022-09-20 04:00:00,0.4036
2022-09-20 04:15:00,0.4035
2022-09-20 04:30:00,0.4033
2022-09-20 04:45:00,0.2097
2022-09-20 06:15:00,0.4969
2022-09-20 06:30:00,0.4972
2022-09-20 06:45:00,1.0005
2022-09-20 07:00:00,1.0028
2022-09-20 07:15:00,1.0025
2022-09-20 07:30:00,1.0036
2022-09-20 07:45:00,0.0
2022-09-20 08:00:00,0.0
2022-09-21 02:15:00,0.0
2022-09-21 02:30:00,0.0
2022-09-21 02:45:00,0.0
2022-09-21 03:00:00,0.0
2022-09-21 03:15:00,0.0
2022-09-21 03:30:00,0.0
2022-09-21 03:45:00,-0.1938
2022-09-21 04:00:00,-0.1935
2022-09-21 04:15:00,-0.5022
2022-09-21 04:30:00,-0.5005
2022-09-21 04:45:00,-0.5004
2022-09-21 06:15:00,-0.3434
2022-09-21 06:30:00,-0.3441
2022-09-21 06:45:00,-0.1478
2022-09-21 07:00:00,-0.1483
2022-09-21 07:15:00,0.1886
2022-09-21 07:30:00,0.1884
2022-09-21 07:45:00,0.0
2022-09-21 08:00:00,0.0
2022-09-22 02:15:00,0.0
2022-09-22 02:30:00,0.0
2022-09-22 02:45:00,0.0
2022-09-22 03:00:00,0.0
2022-09-22 03:15:00,0.309
2022-09-22 03:30:00,0.3086
2022-09-22 03:45:00,0.4671
2022-09-22 04:00:00,0.4662
2022-09-22 04:15:00,0.2726
2022-09-22 04:30:00,0.2725
2022-09-22 04:45:00,0.2725
2022-09-22 06:15:00,-0.3447
2022-09-22 06:30:00,-0.3452
2022-09-22 06:45:00,-0.0063
2022-09-22 07:00:00,-0.0063
2022-09-22 07:15:00,0.3832
2022-09-22 07:30:00,0.3836
2022-09-22 07:45:00,0.0
2022-09-22 08:00:00,0.0
2022-09-23 02:15:00,0.0
2022-09-23 02:30:00,0.0
2022-09-23 02:45:00,0.0
2022-09-23 03:00:00,0.0
2022-09-23 03:15:00,-0.3017
2022-09-23 03:30:00,-0.3018
2022-09-23 03:45:00,-0.3019
2022-09-23 04:00:00,-0.3018
2022-09-23 04:15:00,-0.703
2022-09-23 04:30:00,-0.701
2022-09-23 04:45:00,-0.701
2022-09-23 06:15:00,-0.8029
2022-09-23 06:30:00,-0.8008
2022-09-23 06:45:00,-0.8025
2022-09-23 07:00:00,-0.8043
2022-09-23 07:15:00,-0.8018
2022-09-23 07:30:00,-0.7992
2022-09-23 07:45:00,0.0
2022-09-23 08:00:00,0.0
2022-09-26 02:15:00,0.0
2022-09-26 02:30:00,0.0
2022-09-26 02:45:00,-0.309
2022-09-26 03:00:00,-0.3091
2022-09-26 03:15:00,-0.3087
2022-09-26 03:30:00,-0.3087
2022-09-26 03:45:00,-0.3082
2022-09-26 04:00:00,-0.3074
2022-09-26 04:15:00,-0.3071
2022-09-26 04:30:00,-0.3071
2022-09-26 04:45:00,-0.3073
2022-09-26 06:15:00,-0.4649
2022-09-26 06:30:00,-0.4633
2022-09-26 06:45:00,-0.4626
2022-09-26 07:00:00,-0.4624
2022-09-26 07:15:00,0.2874
2022-09-26 07:30:00,0.2894
2022-09-26 07:45:00,0.0
2022-09-26 08:00:00,0.0
2022-09-27 02:15:00,0.0
2022-09-27 02:30:00,0.0
2022-09-27 02:45:00,0.0
2022-09-27 03:00:00,0.0
2022-09-27 03:15:00,0.309
2022-09-27 03:30:00,0.3096
2022-09-27 03:45:00,0.3102
2022-09-27 04:00:00,0.31
2022-09-27 04:15:00,0.3092
2022-09-27 04:30:00,0.3097
2022-09-27 04:45:00,0.3097
2022-09-27 06:15:00,0.3105
2022-09-27 06:30:00,0.3109
2022-09-27 06:45:00,0.8081
2022-09-27 07:00:00,0.8062
2022-09-27 07:15:00,-0.2934
2022-09-27 07:30:00,-0.2926
2022-09-27 07:45:00,0.0
2022-09-27 08:00:00,0.0
2022-09-28 02:15:00,0.0
2022-09-28 02:30:00,0.0
2022-09-28 02:45:00,-0.5028
2022-09-28 03:00:00,-0.5022
2022-09-28 03:15:00,0.6107
