Date,VN30F1M
2022-09-13 06:48:00,-0.5399
2022-09-13 07:00:00,-0.5399
2022-09-13 07:12:00,-0.8264
2022-09-13 07:24:00,-0.8265
2022-09-13 07:36:00,-0.541
2022-09-13 07:48:00,-0.5386
2022-09-14 02:12:00,-1.0
2022-09-14 02:24:00,-1.0001
2022-09-14 02:36:00,-1.0002
2022-09-14 02:48:00,-1.0
2022-09-14 03:00:00,-1.0004
2022-09-14 03:12:00,-0.9439
2022-09-14 03:24:00,-0.9445
2022-09-14 03:36:00,-0.9445
2022-09-14 03:48:00,-0.9444
2022-09-14 04:00:00,-0.9447
2022-09-14 04:12:00,-0.9449
2022-09-14 04:24:00,-0.9447
2022-09-14 04:36:00,-0.9445
2022-09-14 06:12:00,-0.9445
2022-09-14 06:24:00,-0.8503
2022-09-14 06:36:00,-0.4727
2022-09-14 06:48:00,0.5448
2022-09-14 07:00:00,0.8181
2022-09-14 07:12:00,0.817
2022-09-14 07:24:00,0.818
2022-09-14 07:36:00,0.818
2022-09-14 07:48:00,0.9085
2022-09-15 02:12:00,0.9104
2022-09-15 02:24:00,1.0
2022-09-15 02:36:00,1.0001
2022-09-15 02:48:00,1.001
2022-09-15 03:00:00,1.0005
2022-09-15 03:12:00,1.0
2022-09-15 03:24:00,1.0002
2022-09-15 03:36:00,1.0003
2022-09-15 03:48:00,0.8887
2022-09-15 04:00:00,0.7152
2022-09-15 04:12:00,0.5412
2022-09-15 04:24:00,0.4469
2022-09-15 04:36:00,-0.4024
2022-09-15 06:12:00,-0.5457
2022-09-15 06:24:00,-0.8187
2022-09-15 06:36:00,-0.682
2022-09-15 06:48:00,-0.8186
2022-09-15 07:00:00,0.0
2022-09-15 07:12:00,0.0
2022-09-15 07:24:00,0.0
2022-09-15 07:36:00,0.0
2022-09-15 07:48:00,0.0
2022-09-16 02:12:00,-0.7709
2022-09-16 02:24:00,-0.7707
2022-09-16 02:36:00,-0.7707
2022-09-16 02:48:00,-0.9005
2022-09-16 03:00:00,-0.9005
2022-09-16 03:12:00,-1.0
2022-09-16 03:24:00,-0.5281
2022-09-16 03:36:00,-0.528
2022-09-16 03:48:00,-0.528
2022-09-16 04:00:00,-0.5279
2022-09-16 04:12:00,-0.5278
2022-09-16 04:24:00,-0.6226
2022-09-16 04:36:00,-1.0
2022-09-16 06:12:00,-0.9997
2022-09-16 06:24:00,-0.9999
2022-09-16 06:36:00,-0.9992
2022-09-16 06:48:00,-0.9995
2022-09-16 07:00:00,-0.9005
2022-09-16 07:12:00,-0.8998
2022-09-16 07:24:00,-0.8983
2022-09-16 07:36:00,-0.8937
2022-09-16 07:48:00,-0.8968
2022-09-19 02:12:00,-0.8252
2022-09-19 02:24:00,-0.7252
2022-09-19 02:36:00,-0.7251
2022-09-19 02:48:00,-0.7241
2022-09-19 03:00:00,-0.7224
2022-09-19 03:12:00,-0.3949
2022-09-19 03:24:00,-0.3945
2022-09-19 03:36:00,-0.3233
2022-09-19 03:48:00,-0.3231
2022-09-19 04:00:00,0.0598
2022-09-19 04:12:00,1.0
2022-09-19 04:24:00,1.0
2022-09-19 04:36:00,1.0
2022-09-19 06:12:00,0.9976
2022-09-19 06:24:00,0.9949
2022-09-19 06:36:00,0.8863
2022-09-19 06:48:00,0.8861
2022-09-19 07:00:00,0.8874
2022-09-19 07:12:00,0.89
2022-09-19 07:24:00,0.9987
2022-09-19 07:36:00,1.0005
2022-09-19 07:48:00,1.0
2022-09-20 02:12:00,1.0
2022-09-20 02:24:00,1.0
2022-09-20 02:36:00,1.0
2022-09-20 02:48:00,0.9994
2022-09-20 03:00:00,0.9988
2022-09-20 03:12:00,0.9987
2022-09-20 03:24:00,0.9985
2022-09-20 03:36:00,0.7384
2022-09-20 03:48:00,0.5401
